# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D 眼镜佩戴方式设计
gid://shopify/TaxonomyAttribute/1368  : 探测器类型
gid://shopify/TaxonomyAttribute/5163  : 显色剂强度
gid://shopify/TaxonomyAttribute/3027  : 发育展特征
gid://shopify/TaxonomyAttribute/845   : 设备接口
gid://shopify/TaxonomyAttribute/2197  : 设备技术
gid://shopify/TaxonomyAttribute/3392  : 敏捷技能
gid://shopify/TaxonomyAttribute/9383  : 空竹轴系统
gid://shopify/TaxonomyAttribute/8261  : 支持的诊断功能
gid://shopify/TaxonomyAttribute/8262  : 诊断接口类型
gid://shopify/TaxonomyAttribute/5840  : 表盘饰面
gid://shopify/TaxonomyAttribute/5005  : 拨号方式
gid://shopify/TaxonomyAttribute/6671  : 钻石颜色等级
gid://shopify/TaxonomyAttribute/3364  : 尿布包的附加功能
gid://shopify/TaxonomyAttribute/6672  : 尿布套款式
gid://shopify/TaxonomyAttribute/1754  : 尿布套装组件
gid://shopify/TaxonomyAttribute/3037  : 尿布收纳用品的特点
gid://shopify/TaxonomyAttribute/1757  : 尿布尺寸
gid://shopify/TaxonomyAttribute/1573  : 尿布类型
gid://shopify/TaxonomyAttribute/9384  : 动态动力单元
gid://shopify/TaxonomyAttribute/9385  : 全音阶口琴调音系统
gid://shopify/TaxonomyAttribute/2761  : 骰子形状
gid://shopify/TaxonomyAttribute/6396  : 骰子面数
gid://shopify/TaxonomyAttribute/9386  : 迪吉里杜管构造类型
gid://shopify/TaxonomyAttribute/1834  : 电介质类型
gid://shopify/TaxonomyAttribute/7365  : 膳食配方声明
gid://shopify/TaxonomyAttribute/1452  : 饮食偏好
gid://shopify/TaxonomyAttribute/3098  : 膳食补充剂
gid://shopify/TaxonomyAttribute/1567  : 饮食用途
gid://shopify/TaxonomyAttribute/2768  : 难度级别
gid://shopify/TaxonomyAttribute/2048  : 扩散器设计
gid://shopify/TaxonomyAttribute/5132  : 消化补充剂类型
gid://shopify/TaxonomyAttribute/1809  : 数字声音处理
gid://shopify/TaxonomyAttribute/5653  : 数字化仪表面处理
gid://shopify/TaxonomyAttribute/5841  : 餐具特点
gid://shopify/TaxonomyAttribute/1414  : 包括餐具
gid://shopify/TaxonomyAttribute/6397  : 恐龙玩具套装比例/人偶尺寸等级
gid://shopify/TaxonomyAttribute/6398  : 包含的恐龙物种
gid://shopify/TaxonomyAttribute/7366  : 潜水钓饵尺寸标识
gid://shopify/TaxonomyAttribute/5447  : 直插盒类型
gid://shopify/TaxonomyAttribute/5388  : 方向检测能力
gid://shopify/TaxonomyAttribute/1379  : 污垢分离方法
gid://shopify/TaxonomyAttribute/7367  : 碟刹盘安装类型
gid://shopify/TaxonomyAttribute/7368  : 包括碟刹锁配件
gid://shopify/TaxonomyAttribute/2575  : 放电类型
gid://shopify/TaxonomyAttribute/9387  : 迪斯科球镜面瓷砖材质
gid://shopify/TaxonomyAttribute/9388  : 迪斯科球反光镜尺寸
gid://shopify/TaxonomyAttribute/5842  : 洗洁精特性
gid://shopify/TaxonomyAttribute/5843  : 洗碗机配件类型
gid://shopify/TaxonomyAttribute/5844  : 洗碗机洗涤程序
gid://shopify/TaxonomyAttribute/2662  : 磁盘格式类型
gid://shopify/TaxonomyAttribute/1384  : 分装器类型
gid://shopify/TaxonomyAttribute/5845  : 出液机制
gid://shopify/TaxonomyAttribute/5188  : 挤出操作类型
gid://shopify/TaxonomyAttribute/5846  : 出液温度选项
gid://shopify/TaxonomyAttribute/8263  : 显示屏背光颜色
gid://shopify/TaxonomyAttribute/3166  : 显示板功能
gid://shopify/TaxonomyAttribute/1730  : 显示颜色模式
gid://shopify/TaxonomyAttribute/3176  : 显示屏特点
gid://shopify/TaxonomyAttribute/5664  : 显示接口
gid://shopify/TaxonomyAttribute/2046  : 显示模式
gid://shopify/TaxonomyAttribute/2548  : 显示推荐用法
gid://shopify/TaxonomyAttribute/1334  : 显示屏分辨率
gid://shopify/TaxonomyAttribute/2622  : 展示标志设计
gid://shopify/TaxonomyAttribute/1248  : 显示屏技术
gid://shopify/TaxonomyAttribute/5847  : 显示的字符
gid://shopify/TaxonomyAttribute/3054  : 一次性手套特点
gid://shopify/TaxonomyAttribute/9389  : 一次性/可堆肥属性说明
gid://shopify/TaxonomyAttribute/2994  : 一次性/可重复使用袋子的特点
gid://shopify/TaxonomyAttribute/2950  : 一次性/可重复使用商品的材质
gid://shopify/TaxonomyAttribute/7733  : 蒸馏方法
gid://shopify/TaxonomyAttribute/7734  : 蒸馏水预期用途
gid://shopify/TaxonomyAttribute/8264  : 遇险信号传输频率
gid://shopify/TaxonomyAttribute/6673  : 做旧程度
gid://shopify/TaxonomyAttribute/6674  : 做旧风格
gid://shopify/TaxonomyAttribute/8265  : 分电器提前机构
gid://shopify/TaxonomyAttribute/8266  : 分电器盖端子类型
gid://shopify/TaxonomyAttribute/8267  : 分电器齿轮材质
gid://shopify/TaxonomyAttribute/8268  : 分电器点火类型
gid://shopify/TaxonomyAttribute/8269  : 分电器套件所含物品
gid://shopify/TaxonomyAttribute/7369  : 潜水电脑外形尺寸
gid://shopify/TaxonomyAttribute/3386  : 包含潜水电脑物品
gid://shopify/TaxonomyAttribute/5848  : 跳板表面纹理
gid://shopify/TaxonomyAttribute/7370  : 潜水面罩设计
gid://shopify/TaxonomyAttribute/2866  : 呼吸调节器款式
gid://shopify/TaxonomyAttribute/2864  : 包含潜水/浮潜设备
gid://shopify/TaxonomyAttribute/7371  : 草皮修复工具插脚配置
gid://shopify/TaxonomyAttribute/7372  : 草皮修复工具款式
gid://shopify/TaxonomyAttribute/9390  : 金杯鼓鼓腔结构
gid://shopify/TaxonomyAttribute/9391  : 非洲鼓调音系统
gid://shopify/TaxonomyAttribute/5418  : 底座兼容性
gid://shopify/TaxonomyAttribute/6399  : 包括医生玩具套装物品
gid://shopify/TaxonomyAttribute/6400  : 医生玩具套装角色扮演场景设定
gid://shopify/TaxonomyAttribute/6401  : 包括医生玩具套装可穿戴物品
gid://shopify/TaxonomyAttribute/1703  : 犬只年龄段
gid://shopify/TaxonomyAttribute/3225  : 狗尿布类型
gid://shopify/TaxonomyAttribute/3226  : 狗狗玩具类型
gid://shopify/TaxonomyAttribute/6402  : 娃娃配件类型
gid://shopify/TaxonomyAttribute/6403  : 玩偶眼睛类型
gid://shopify/TaxonomyAttribute/6404  : 娃娃发丝材质类型
gid://shopify/TaxonomyAttribute/9393  : 包括娃娃制作套件组件
gid://shopify/TaxonomyAttribute/3399  : 玩偶类型
gid://shopify/TaxonomyAttribute/3192  : 玩偶/玩具套装特点
gid://shopify/TaxonomyAttribute/6405  : 玩具屋安装/摆放方式
gid://shopify/TaxonomyAttribute/6406  : 玩偶屋内含物品
gid://shopify/TaxonomyAttribute/6407  : 娃娃屋灯光类型
gid://shopify/TaxonomyAttribute/6408  : 玩偶屋房间类型
gid://shopify/TaxonomyAttribute/6409  : 玩具屋比例规格
gid://shopify/TaxonomyAttribute/6410  : 玩偶屋风格/主题
gid://shopify/TaxonomyAttribute/9394  : Donnos 演奏技巧
gid://shopify/TaxonomyAttribute/9395  : Donnos 调音系统
gid://shopify/TaxonomyAttribute/8270  : 车门装配类型
gid://shopify/TaxonomyAttribute/2080  : 闭门器设计
gid://shopify/TaxonomyAttribute/6901  : 车门锁闭机构
gid://shopify/TaxonomyAttribute/5849  : 门体配置
gid://shopify/TaxonomyAttribute/2085  : 门框饰面
gid://shopify/TaxonomyAttribute/2089  : 门玻璃饰面
gid://shopify/TaxonomyAttribute/8271  : 包含的门把手组件
gid://shopify/TaxonomyAttribute/8272  : 门把手操作方式
gid://shopify/TaxonomyAttribute/5850  : 门铰链的开向
gid://shopify/TaxonomyAttribute/5851  : 门铰链的位置
gid://shopify/TaxonomyAttribute/3322  : 门隔热材料
gid://shopify/TaxonomyAttribute/2086  : 门把手功能
gid://shopify/TaxonomyAttribute/8273  : 门锁旋钮安装方式
gid://shopify/TaxonomyAttribute/8274  : 门锁位置
gid://shopify/TaxonomyAttribute/1520  : 门材质
gid://shopify/TaxonomyAttribute/8275  : 门封功能集
gid://shopify/TaxonomyAttribute/8276  : 门封材质类型
gid://shopify/TaxonomyAttribute/8277  : 门封产品形式
gid://shopify/TaxonomyAttribute/2087  : 门挡放置
gid://shopify/TaxonomyAttribute/1724  : 门吸设计
gid://shopify/TaxonomyAttribute/2090  : 门合适位置
gid://shopify/TaxonomyAttribute/2091  : 门表面光洁度
gid://shopify/TaxonomyAttribute/1521  : 门类型
gid://shopify/TaxonomyAttribute/8278  : 门窗操作方式
gid://shopify/TaxonomyAttribute/2960  : 门/门框应用
gid://shopify/TaxonomyAttribute/8279  : 双层巴士车厢配置
gid://shopify/TaxonomyAttribute/9396  : 双鼓踏板联动中型
gid://shopify/TaxonomyAttribute/1747  : 双人婴儿车配置
gid://shopify/TaxonomyAttribute/7373  : 双端袋芯型
gid://shopify/TaxonomyAttribute/9397  : 双头针尖式
gid://shopify/TaxonomyAttribute/6411  : 包括面团挤出机配件
gid://shopify/TaxonomyAttribute/6412  : 面团挤出机操作类型
gid://shopify/TaxonomyAttribute/6413  : 含面团挤出成型盘
gid://shopify/TaxonomyAttribute/7735  : 面团形态
gid://shopify/TaxonomyAttribute/9398  : 包括杜姆贝克鼓配件
gid://shopify/TaxonomyAttribute/9399  : 杜姆贝克鼓面材质
gid://shopify/TaxonomyAttribute/9400  : 杜姆贝克鼓的鼓面类型
gid://shopify/TaxonomyAttribute/9401  : 手鼓演奏风格/技巧
gid://shopify/TaxonomyAttribute/9402  : 杜姆贝克调音系统
gid://shopify/TaxonomyAttribute/9403  : 榫头样式
gid://shopify/TaxonomyAttribute/9404  : 木榫表面纹理
gid://shopify/TaxonomyAttribute/5665  : 下游端口类型
gid://shopify/TaxonomyAttribute/5852  : 排放气体类型
gid://shopify/TaxonomyAttribute/9405  : 绘图圆规调节机构
gid://shopify/TaxonomyAttribute/9406  : 绘图圆规微调装置
gid://shopify/TaxonomyAttribute/9407  : 绘图圆规插入件支架类型
gid://shopify/TaxonomyAttribute/7374  : 拖曳系统材质
gid://shopify/TaxonomyAttribute/7375  : 泄力系统类型
gid://shopify/TaxonomyAttribute/7376  : 拖拽类型
gid://shopify/TaxonomyAttribute/2146  : 排水位置
gid://shopify/TaxonomyAttribute/5853  : 排水设计
gid://shopify/TaxonomyAttribute/5172  : 排水功能
gid://shopify/TaxonomyAttribute/5854  : 排水方式
gid://shopify/TaxonomyAttribute/6902  : 抽屉功能
gid://shopify/TaxonomyAttribute/5855  : 抽屉收纳用品的特点
gid://shopify/TaxonomyAttribute/6903  : 抽屉滑轨类型
gid://shopify/TaxonomyAttribute/9408  : 绘图墨水适配工具
gid://shopify/TaxonomyAttribute/9409  : 绘图墨水耐候性
gid://shopify/TaxonomyAttribute/2280  : 内附绘图/绘画套件物品
gid://shopify/TaxonomyAttribute/6675  : 服装装饰
gid://shopify/TaxonomyAttribute/3014  : 人台特点
gid://shopify/TaxonomyAttribute/3244  : 穿着场合
gid://shopify/TaxonomyAttribute/3245  : 裙子风格
gid://shopify/TaxonomyAttribute/6676  : 礼服拖尾款式
gid://shopify/TaxonomyAttribute/9410  : 干燥表面处理
gid://shopify/TaxonomyAttribute/3120  : 钻机特点
gid://shopify/TaxonomyAttribute/2604  : 钻孔方法
gid://shopify/TaxonomyAttribute/2605  : 钻机定向仪
gid://shopify/TaxonomyAttribute/7377  : 饮管隔热层
gid://shopify/TaxonomyAttribute/5856  : 饮具水晶材质成分
gid://shopify/TaxonomyAttribute/5857  : 饮具支架
gid://shopify/TaxonomyAttribute/5858  : 饮具保温
gid://shopify/TaxonomyAttribute/2820  : 饮具材质
gid://shopify/TaxonomyAttribute/1415  : 包括饮具
gid://shopify/TaxonomyAttribute/3411  : 饮具形状
gid://shopify/TaxonomyAttribute/5859  : 滴滤器设计
gid://shopify/TaxonomyAttribute/9411  : 传动带横截面形状
gid://shopify/TaxonomyAttribute/9412  : 驱动带连接类型
gid://shopify/TaxonomyAttribute/9413  : 传动带材质类型
gid://shopify/TaxonomyAttribute/5661  : 驱动器外形
gid://shopify/TaxonomyAttribute/7378  : 驱动机构位置
gid://shopify/TaxonomyAttribute/7379  : 传动机构
gid://shopify/TaxonomyAttribute/8280  : 传动轴材料
gid://shopify/TaxonomyAttribute/2217  : 驱动器尺寸
gid://shopify/TaxonomyAttribute/7380  : 传动系统
gid://shopify/TaxonomyAttribute/2576  : 驱动类型
gid://shopify/TaxonomyAttribute/5348  : 分频路数
gid://shopify/TaxonomyAttribute/5450  : 驱动器技术
gid://shopify/TaxonomyAttribute/7381  : 传动系统配置
gid://shopify/TaxonomyAttribute/7382  : 传动系统速度适配性
gid://shopify/TaxonomyAttribute/5496  : 无人机板功能
gid://shopify/TaxonomyAttribute/4684  : 无人机功能
gid://shopify/TaxonomyAttribute/8281  : 无人机定位系统
gid://shopify/TaxonomyAttribute/8282  : 无人机传输类型
gid://shopify/TaxonomyAttribute/9414  : 落锭纺轮安装位置
gid://shopify/TaxonomyAttribute/9415  : 包括鼓梳刷配件
gid://shopify/TaxonomyAttribute/9416  : 鼓夹锁定机构
gid://shopify/TaxonomyAttribute/9417  : 鼓用夹具安装接口
gid://shopify/TaxonomyAttribute/9418  : 鼓夹类型
gid://shopify/TaxonomyAttribute/2470  : 鼓配置
gid://shopify/TaxonomyAttribute/5860  : 包含的滚筒刨丝样式
gid://shopify/TaxonomyAttribute/3287  : 鼓硬件可调性
gid://shopify/TaxonomyAttribute/2934  : 鼓硬件材质
gid://shopify/TaxonomyAttribute/9419  : 鼓皮应用（击打面/共鸣面）
gid://shopify/TaxonomyAttribute/9420  : 鼓皮压圈类型
gid://shopify/TaxonomyAttribute/9421  : 鼓皮阻尼控制
gid://shopify/TaxonomyAttribute/9422  : 鼓皮薄膜材料
gid://shopify/TaxonomyAttribute/9423  : 鼓皮箍/圈类型
gid://shopify/TaxonomyAttribute/9424  : 鼓皮圈/鼓框材料
gid://shopify/TaxonomyAttribute/9425  : 包含鼓皮
gid://shopify/TaxonomyAttribute/9426  : 鼓皮消音功能
gid://shopify/TaxonomyAttribute/9427  : 鼓皮消音类型
gid://shopify/TaxonomyAttribute/9428  : 鼓皮层数
gid://shopify/TaxonomyAttribute/9429  : 鼓皮位置
gid://shopify/TaxonomyAttribute/9430  : 鼓皮加强层类型
gid://shopify/TaxonomyAttribute/9431  : 鼓皮表面处理
gid://shopify/TaxonomyAttribute/9432  : 鼓皮类型
gid://shopify/TaxonomyAttribute/9433  : 鼓钥匙设计类型
gid://shopify/TaxonomyAttribute/9434  : 鼓键驱动类型
gid://shopify/TaxonomyAttribute/9435  : 鼓键手柄样式
gid://shopify/TaxonomyAttribute/9436  : 鼓套件所含配件
gid://shopify/TaxonomyAttribute/9437  : 鼓套件的便携性
gid://shopify/TaxonomyAttribute/9438  : 鼓套件外壳构造特点
gid://shopify/TaxonomyAttribute/9439  : 鼓架夹具类型
gid://shopify/TaxonomyAttribute/9440  : 鼓用多向夹具类型
gid://shopify/TaxonomyAttribute/9441  : 鼓消音装置材质
gid://shopify/TaxonomyAttribute/9442  : 鼓垫触发区域
gid://shopify/TaxonomyAttribute/9443  : 包括鼓踏板配件
gid://shopify/TaxonomyAttribute/9444  : 鼓踏板底座类型
gid://shopify/TaxonomyAttribute/9445  : 鼓踏板轴承类型
gid://shopify/TaxonomyAttribute/9446  : 鼓踏板凸轮类型
gid://shopify/TaxonomyAttribute/9447  : 鼓踏板链配置
gid://shopify/TaxonomyAttribute/9448  : 鼓踏板链条类型
gid://shopify/TaxonomyAttribute/9449  : 鼓踏板夹具类型
gid://shopify/TaxonomyAttribute/9450  : 鼓踏板的预期用途
gid://shopify/TaxonomyAttribute/9451  : 鼓踏板弹簧调节方式
gid://shopify/TaxonomyAttribute/9452  : 鼓踏板弹簧类型
gid://shopify/TaxonomyAttribute/9453  : 鼓腔材质
gid://shopify/TaxonomyAttribute/9454  : 鼓腔木材种类
gid://shopify/TaxonomyAttribute/9455  : 鼓皮类型
gid://shopify/TaxonomyAttribute/9456  : 鼓槌型号
gid://shopify/TaxonomyAttribute/9457  : 鼓槌锥形
gid://shopify/TaxonomyAttribute/1492  : 干豆品种
gid://shopify/TaxonomyAttribute/1380  : 干/湿洗
gid://shopify/TaxonomyAttribute/5861  : 烘干机滚筒材质
gid://shopify/TaxonomyAttribute/5862  : 烘干纸的特性
gid://shopify/TaxonomyAttribute/2134  : 干燥机技术
gid://shopify/TaxonomyAttribute/5863  : 烘干机的排气类型
gid://shopify/TaxonomyAttribute/5181  : 干燥方法
gid://shopify/TaxonomyAttribute/1601  : 干燥速度
gid://shopify/TaxonomyAttribute/5864  : 烘干系统
gid://shopify/TaxonomyAttribute/7383  : 干式潜水服鞋款
gid://shopify/TaxonomyAttribute/3326  : 管道设计
gid://shopify/TaxonomyAttribute/2135  : 风管形状
gid://shopify/TaxonomyAttribute/7384  : 哑铃类型
gid://shopify/TaxonomyAttribute/9458  : 墩墩鼓演奏姿势
gid://shopify/TaxonomyAttribute/5377  : 双面组件类型
gid://shopify/TaxonomyAttribute/5378  : 双面器安装类型
gid://shopify/TaxonomyAttribute/1950  : 双面技术
gid://shopify/TaxonomyAttribute/5654  : 复制操作模式
gid://shopify/TaxonomyAttribute/3111  : 耐用性特点
gid://shopify/TaxonomyAttribute/1381  : 集尘容器类型
gid://shopify/TaxonomyAttribute/2638  : 防尘口罩类型
gid://shopify/TaxonomyAttribute/5865  : 除尘掸刷头材质
gid://shopify/TaxonomyAttribute/5866  : 簸箕类型
gid://shopify/TaxonomyAttribute/9459  : 染料状态
gid://shopify/TaxonomyAttribute/9460  : 染色风格
gid://shopify/TaxonomyAttribute/9461  : 染色工艺
gid://shopify/TaxonomyAttribute/9462  : 染色类型（刺绣织物）
gid://shopify/TaxonomyAttribute/9463  : 染色固色处理
gid://shopify/TaxonomyAttribute/1223  : 动力水平
gid://shopify/TaxonomyAttribute/5459  : 动态处理功能
gid://shopify/TaxonomyAttribute/5672  : 电子书阅读器部件位置
gid://shopify/TaxonomyAttribute/7385  : 电动自行车认证等级
gid://shopify/TaxonomyAttribute/7386  : 电动自行车时速等级
gid://shopify/TaxonomyAttribute/1878  : 支持的电子书格式
gid://shopify/TaxonomyAttribute/1510  : 电子烟/雾化器款式
gid://shopify/TaxonomyAttribute/1506  : 电子烟油香味
gid://shopify/TaxonomyAttribute/1507  : 电子烟油品种
gid://shopify/TaxonomyAttribute/2904  : 电子阅读器显示屏技术
gid://shopify/TaxonomyAttribute/7387  : 电动滑板车连接器类型
gid://shopify/TaxonomyAttribute/7388  : 电动滑板车油门类型
gid://shopify/TaxonomyAttribute/2672  : ESRB 评级
gid://shopify/TaxonomyAttribute/6320  : 欧盟儿童服装尺码
gid://shopify/TaxonomyAttribute/6321  : 欧码衣服尺码
gid://shopify/TaxonomyAttribute/6322  : 欧盟罩杯尺码
gid://shopify/TaxonomyAttribute/6323  : 欧盟戒指尺码
gid://shopify/TaxonomyAttribute/6324  : 欧盟鞋码
gid://shopify/TaxonomyAttribute/3197  : 电动汽车电池特点
gid://shopify/TaxonomyAttribute/2688  : EV 电池类型
gid://shopify/TaxonomyAttribute/8316  : 电动汽车连接器/适配器方向
gid://shopify/TaxonomyAttribute/2686  : EV 连接器/适配器类型
gid://shopify/TaxonomyAttribute/8317  : EV 改装套件完整性级别
gid://shopify/TaxonomyAttribute/2687  : EV 转换套件组件
gid://shopify/TaxonomyAttribute/8318  : 电动车改装套件传动系统配置
gid://shopify/TaxonomyAttribute/8319  : 电动车改装套件电压等级
gid://shopify/TaxonomyAttribute/3132  : 耳部护理用品的使用方法
gid://shopify/TaxonomyAttribute/7389  : 耳部防护
gid://shopify/TaxonomyAttribute/7390  : 耳部包覆方式
gid://shopify/TaxonomyAttribute/6677  : 耳部防护类型
gid://shopify/TaxonomyAttribute/5307  : 耳部烘干技术
gid://shopify/TaxonomyAttribute/7391  : 护耳类型
gid://shopify/TaxonomyAttribute/5509  : 入耳方向
gid://shopify/TaxonomyAttribute/5308  : 耳勺尖端样式
gid://shopify/TaxonomyAttribute/5045  : 适配耳朵
gid://shopify/TaxonomyAttribute/5425  : 耳塞尺寸
gid://shopify/TaxonomyAttribute/5427  : 耳塞样式
gid://shopify/TaxonomyAttribute/6678  : 耳罩样式
gid://shopify/TaxonomyAttribute/3064  : 耳机功能
gid://shopify/TaxonomyAttribute/5311  : 耳塞绳样式
gid://shopify/TaxonomyAttribute/5310  : 耳塞形状
gid://shopify/TaxonomyAttribute/5309  : 耳塞类型
gid://shopify/TaxonomyAttribute/1636  : 耳塞使用
gid://shopify/TaxonomyAttribute/6679  : 耳环扣合类型
gid://shopify/TaxonomyAttribute/3261  : 耳环设计
gid://shopify/TaxonomyAttribute/6414  : 画架与艺术桌功能
gid://shopify/TaxonomyAttribute/6415  : 画架和美术桌台面类型
gid://shopify/TaxonomyAttribute/9464  : 降 E 单簧管管体类型
gid://shopify/TaxonomyAttribute/7392  : 环保材质类型
gid://shopify/TaxonomyAttribute/7393  : 边缘结构
gid://shopify/TaxonomyAttribute/5867  : 边缘处理
gid://shopify/TaxonomyAttribute/2078  : 边缘款式
gid://shopify/TaxonomyAttribute/7394  : 雪板修刃工具类型
gid://shopify/TaxonomyAttribute/2818  : 边缘样式
gid://shopify/TaxonomyAttribute/7736  : 可食用植物部位
gid://shopify/TaxonomyAttribute/2657  : 教育程度
gid://shopify/TaxonomyAttribute/6416  : 配套教学指导材料
gid://shopify/TaxonomyAttribute/6417  : 教育主题
gid://shopify/TaxonomyAttribute/5453  : 效果处理器外形
gid://shopify/TaxonomyAttribute/7737  : 蛋原料类型
gid://shopify/TaxonomyAttribute/7738  : 蛋原料替代情况
gid://shopify/TaxonomyAttribute/5868  : 煮蛋器的功能
gid://shopify/TaxonomyAttribute/5869  : 鸡蛋杯设计
gid://shopify/TaxonomyAttribute/1353  : 包括彩蛋装饰物品
gid://shopify/TaxonomyAttribute/7739  : 蛋品营养强化
gid://shopify/TaxonomyAttribute/7740  : 鸡蛋养殖方式
gid://shopify/TaxonomyAttribute/7741  : 鸡蛋等级
gid://shopify/TaxonomyAttribute/7742  : 鸡蛋加工状态
gid://shopify/TaxonomyAttribute/7743  : 鸡蛋生产方法
gid://shopify/TaxonomyAttribute/7744  : 蛋制品替代品主料
gid://shopify/TaxonomyAttribute/7745  : 鸡蛋尺寸
gid://shopify/TaxonomyAttribute/7746  : 蛋源动物
gid://shopify/TaxonomyAttribute/3296  : 翻转蛋
gid://shopify/TaxonomyAttribute/7747  : 蛋白加工方法
gid://shopify/TaxonomyAttribute/7748  : 茄子品种
gid://shopify/TaxonomyAttribute/7749  : 蛋壳颜色
gid://shopify/TaxonomyAttribute/9465  : 性包边工艺/类型
gid://shopify/TaxonomyAttribute/9466  : 松紧带预期用途
gid://shopify/TaxonomyAttribute/9467  : 松紧带回弹性能
gid://shopify/TaxonomyAttribute/9468  : 松紧带回弹质量
gid://shopify/TaxonomyAttribute/9469  : 松紧带拉伸等级
gid://shopify/TaxonomyAttribute/9470  : 松紧带结构
gid://shopify/TaxonomyAttribute/9471  : 弹性类型
gid://shopify/TaxonomyAttribute/7395  : 电动辅助型
gid://shopify/TaxonomyAttribute/7396  : 电动自行车电机位置
gid://shopify/TaxonomyAttribute/7397  : 电动自行车
gid://shopify/TaxonomyAttribute/9472  : 电吉他琴桥类型
gid://shopify/TaxonomyAttribute/9473  : 电子乐器输出连接类型
gid://shopify/TaxonomyAttribute/5870  : 电水壶特点
gid://shopify/TaxonomyAttribute/6418  : 电动代步车控制选项
gid://shopify/TaxonomyAttribute/4995  : 电动踏板车电机类型
gid://shopify/TaxonomyAttribute/9474  : 电动纺车调速方式
gid://shopify/TaxonomyAttribute/9475  : 电尤克里里输出插孔类型
gid://shopify/TaxonomyAttribute/8283  : 电动货车车身长度等级
gid://shopify/TaxonomyAttribute/8284  : 电动厢式货车车顶高度等级
gid://shopify/TaxonomyAttribute/8285  : 电动车辆传动系统布局
gid://shopify/TaxonomyAttribute/9476  : 电动卷线器配套配件
gid://shopify/TaxonomyAttribute/8286  : 电气连接器类型
gid://shopify/TaxonomyAttribute/8287  : 电气系统电压
gid://shopify/TaxonomyAttribute/5076  : 电极连接器类型
gid://shopify/TaxonomyAttribute/9477  : 电子镲片触发区域
gid://shopify/TaxonomyAttribute/3292  : 电子鼓零部件
gid://shopify/TaxonomyAttribute/9478  : 电子鼓模块音频接口功能
gid://shopify/TaxonomyAttribute/9479  : 电子鼓模块节拍器功能
gid://shopify/TaxonomyAttribute/9480  : 电子鼓模块电源
gid://shopify/TaxonomyAttribute/9481  : 电子鼓模块采样导入支持
gid://shopify/TaxonomyAttribute/9482  : 电子鼓垫击打表面类型
gid://shopify/TaxonomyAttribute/6419  : 电子功能
gid://shopify/TaxonomyAttribute/6420  : 电子灯光与音效
gid://shopify/TaxonomyAttribute/9483  : 电子产品电源
gid://shopify/TaxonomyAttribute/5077  : 电疗模式
gid://shopify/TaxonomyAttribute/8288  : 适用赛事系列
gid://shopify/TaxonomyAttribute/7398  : 椭圆机零件类型
gid://shopify/TaxonomyAttribute/6680  : 装饰工艺
gid://shopify/TaxonomyAttribute/6681  : 装饰类型
gid://shopify/TaxonomyAttribute/2927  : 装饰/修饰材料
gid://shopify/TaxonomyAttribute/2288  : 装饰品
gid://shopify/TaxonomyAttribute/9484  : 压印笔墨水颜色
gid://shopify/TaxonomyAttribute/2327  : 压花项目类型
gid://shopify/TaxonomyAttribute/9485  : 压印笔笔尖形状
gid://shopify/TaxonomyAttribute/2454  : 吹孔形状
gid://shopify/TaxonomyAttribute/9486  : 刺绣覆盖等级
gid://shopify/TaxonomyAttribute/9487  : 刺绣贴片背面类型
gid://shopify/TaxonomyAttribute/9488  : 刺绣绷架类型
gid://shopify/TaxonomyAttribute/9489  : 绣花机梭芯类型
gid://shopify/TaxonomyAttribute/5871  : 应急毯的特性
gid://shopify/TaxonomyAttribute/1363  : 包括应急物品
gid://shopify/TaxonomyAttribute/8289  : 应急照明配置
gid://shopify/TaxonomyAttribute/5872  : 应急照明的操作模式
gid://shopify/TaxonomyAttribute/8290  : 应急照明套装
gid://shopify/TaxonomyAttribute/2623  : 紧急/安全标志设计
gid://shopify/TaxonomyAttribute/8291  : 排放合规标准
gid://shopify/TaxonomyAttribute/8292  : 排放标准
gid://shopify/TaxonomyAttribute/8293  : 外壳面板配置
gid://shopify/TaxonomyAttribute/1945  : 封装类型
gid://shopify/TaxonomyAttribute/8294  : 围护窗材料
gid://shopify/TaxonomyAttribute/5253  : 端部设计
gid://shopify/TaxonomyAttribute/8295  : 端部接头类型
gid://shopify/TaxonomyAttribute/8296  : 端部连接类型
gid://shopify/TaxonomyAttribute/9490  : 端部处理方式（锁线）
gid://shopify/TaxonomyAttribute/8297  : 耐力摩托车悬架可调性
gid://shopify/TaxonomyAttribute/5314  : 灌肠器设备类型
gid://shopify/TaxonomyAttribute/5313  : 灌肠器喷嘴类型
gid://shopify/TaxonomyAttribute/1370  : 能源效率等级
gid://shopify/TaxonomyAttribute/1956  : 能源效率等级 (HDR)
gid://shopify/TaxonomyAttribute/1957  : 能源效率等级 (SDR)
gid://shopify/TaxonomyAttribute/8298  : 发动机舱安装位置
gid://shopify/TaxonomyAttribute/8299  : 发动机轴承涂层
gid://shopify/TaxonomyAttribute/8300  : 发动机轴承位置
gid://shopify/TaxonomyAttribute/8301  : 发动机轴承尺寸
gid://shopify/TaxonomyAttribute/8302  : 发动机配置
gid://shopify/TaxonomyAttribute/8303  : 发动机冷却类型
gid://shopify/TaxonomyAttribute/8304  : 发动机除油剂形态
